company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
iStyle99.com,E-Commerce,Fashion,Delhi,Delhi,"iStYle99.com is an online fashion store that offers a range of fashion products for men, women, and kids.",110092,—,"Jul 18, 2013",www.istyle99.com/,,,,,,,,,,,,,,,,
"but same item sell at more less at iStyle99.com.\"",—,—,—,,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/istyle99-com,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/istyle99-com,—,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/istyle99-com,,,,,,,,,,,,,,,,
MobiSwipe,Financial Services,Information Services,Chennai,Tamil Nadu,MobiSwipe is the most convenient mobile payment service that enables merchants to accept Credit & Debit card payments anywhere & anytime .,600 002,—,2012,mobiswipe.in/,2,Harmeet Singh Arora,Suresh Santhana Ramakrishnan,11-50,1,M&A,Nov 21","2012""",—,Seed,—,One97 Mobility Fund,,,,,1,,,,,,,,,,,,,,,
Nihodo Media,Animation,Content,Bangalore,Karnataka,Nihodo Media is a developer of an online platform designed to offer online educational resources.,560038,—,2013,nihodomedia.com,—,,,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,SeedFund.in,,,,,1
KIS Group,Content,Education,Bangalore,Karnataka,"KIS Group is a members-only website that offers access to expert-driven videos about fashion, culinary arts, life skills, and more.",560073,Less than $1M,2012,www.kisgroup.com,1,Raghunath K R,,01-Oct,1,Seed,"Jan 1, 2012","$ 1,50,000.00",Seed,"$ 1,50,000.00",,,,,,—
Mana Projects,Real Estate,,Bangalore,Karnataka,"Well organized market presence, strong and diverse portfolio, streamlined manufacturing capabilities and cost effectiveness.",560034,$50M to $100M,2011,www.manaprojects.com,1,Kishore Reddy,,501-1000,1,—,"Jun 20, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Joognu,Artificial Intelligence (AI),Parenting,Ahmedabad,Gujarat,"Joognu is a parent focused web based platform, enabling its users to share videos and photos of their children's experiences and memories.",380009,$10M to $50M,"Aug 15, 2011",www.joognu.com,3,Anirvan Dam,Lovekesh Sharma,01-Oct,1,Seed,"Jan 1, 2013","$ 1,00,000.00",Seed,"$ 1,00,000.00",Indian Angel Network,Kishore Gokhru,,,,2
dateIITians,Apps,Social Media,Bangalore,Karnataka,dateIITians is a social dating platform for single men and women.,560047,$1M to $10M,"Jan 22, 2012",www.dateiitians.com,3,Kinshuk Bairagi,Layak Singh,01-Oct,1,Seed,"Jan 22, 2012","$ 20,000.00",Seed,"$ 20,000.00",Fullerene Solutions,,,,,1
RankJunction,E-Learning,Education,Nagpur,Maharashtra,"RankJunction aims to become the biggest campus network for jobs, internships and competitive exams.",440015,$1M to $10M,2011,rankjunction.com/,1,Sameer Gautam,,Nov-50,2,Seed,"Jan 13, 2014","$ 1,85,294.00",Angel,"$ 1,85,294.00",Indian Angel Network,Artha Group,,,,2
Alfatek Systems,3D Printing,,Kolkata,West Bengal,Alfatek Systems offers in-house 3D printing services to clients for new product development.,700033,$1M to $10M,2012,www.alfateksystems.com/,1,Sumant Bhutoria,,01-Oct,1,Seed,"Sep 1, 2017",—,Seed,—,Brandshoots Ventures,,,,,1
BlackBamboozStudio,Gaming,iOS,Guwahati,Assam,BlackBambooz Studio is young and energetic video game development company in North-East of India.,781028,$1M to $10M,2012,blackbamboozstudio.com,4,Arup Jyoti,Bijon Dutta,01-Oct,1,Seed,"Aug 1, 2013","€ 15,000.00",Seed,"€ 15,000.00",GameFounders,,,,,1
Wits Solutions Pvt. Ltd.,Apps,Developer Tools,Bangalore,Karnataka,"We are into Mobile Application Development, Enterprise Mobility Solutions, E-Commerce Website Development & Digital Marketing Services",560068,$1M to $10M,"Oct 5, 2013",www.witssolutions.co,2,Ravi Kumar,Suraj Kumar Singh,01-Oct,1,Seed,"Jan 8, 2014","$ 50,000.00",Seed,"$ 50,000.00",,,,,,—
eMithilaHaat,Art,E-Commerce,Darbhanga,Bihar,eMithilaHaat is an India-based online store that promotes and preserves Mithila culture and paintings.,846005,Less than $1M,2013,www.emithilahaat.com/,2,Ankit Jha,Gurmeet Ahuja,01-Oct,1,Seed,"Oct 25, 2013","$ 5,000.00",Seed,"$ 5,000.00",,,,,,—
iEducative.com,EdTech,Enterprise Resource Planning (ERP),Haryana,Haryana,"iEducative is a software and service company that specializes in industry specific solutions, strategic, and integration services",—,—,"Aug 1, 2012",www.iEducative.com,2,Harish Rayaprolu,Prabhjeet Singh,51-100,1,Seed,"Aug 12, 2012","$ 10,000.00",Seed,"$ 10,000.00",Prabhjeet Singh,Harish Rayaprolu,,,,2
Stepbuck,E-Commerce,Fitness,Mumbai,Maharashtra,Stepbuck is a incentive based fitness app.,400026,—,2013,stepbuck.com,1,Siddharth Lodha,,01-Oct,1,Seed,"Oct 22, 2021",—,Angel,—,Sreekanth Lapala,,,,,1
MySuperBrain,E-Learning,EdTech,Hyderabad,Andhra Pradesh,"Online Platform for K-12 students to Discover, Improve and Showcase skills",500 034,$1M to $10M,"Apr 15, 2011",mysuperbrain.com/,2,Raghavendar Reddy Bojja,Yuvaraju Atmakuri,Nov-50,1,Seed,"Jun 27, 2016",—,Angel,—,Soniks Consulting,Ram Malay,,,,2
Blood Sure,Health Care,Health Diagnostics,Indore,Madhya Pradesh,Connecting patients and their families to right donor.,452001,—,2012,www.bloodsure.xyz/,1,Raghav Baldwa,,01-Oct,1,Seed,"Dec 30, 2013","$ 5,000.00",Seed,"$ 5,000.00",,,,,,—
Gray Routes Innovative Distribution,Analytics,Big Data,E-Commerce,E-Commerce Platforms,"Gray Routes deploys GPS-based sales & delivery automation solutions to FMCG, courier, food services, e-commerce and logistics companies.",400072,—,"Mar 1, 2013",www.grayroutes.in,2,India,Asia-Pacific (APAC),101-250,2,Seed,"Feb 8, 2016",—,Seed,"$ 1,10,000.00",Sapna Patel,Soubhagya Sahoo,The Carlyle Group,Mahesh Parasuraman,Rahul Gautam,3
Imly,Food and Beverage,Hospitality,Mumbai,Maharashtra,Imly is an online marketplace for homemade food.,400099,$10M to $50M,2013,imly.in,2,Abhishek Sing,Pavan Mishra,01-Oct,2,Seed,"Feb 11, 2014",—,Seed,—,Microsoft Accelerator,Microsoft Accelerator Bangalore,,,,2
Fortune Consumer Products,Consumer,,Chennai,Tamil Nadu,Fortune Consumer Products Private Limited,600082,—,"Jul 2, 2013",,2,Reginald Pathrose,SWAMYNATHAN MARY AHILA,01-Oct,1,—,"Apr 5, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Ringtel Marketing,,,Panipat,Haryana,"Ringtel Marketing is a name for itself in the list of top suppliers of Mobile Phones, Accessories & Parts in India.",132103,—,2012,ringtelmarketing.com/,—,,,01-Oct,1,Seed,"Sep 26, 2019",—,Seed,—,,,,,,—
Find My Stay,Leisure,Tourism,New Delhi,Delhi,"Our technical know-how and the knack for getting you the best bargains are to be blamed, not you.",110065,$1M to $10M,2012,www.findmystay.com,1,Rohit Khetrapal,,Nov-50,1,Seed,"Jul 12, 2016",—,Seed,—,Indian Angel Network,Rishi Parti,Yogesh Bansal,,,3
Time of Sports,Sports,,New Delhi,Delhi,"Time of Sports Networks Pvt. Ltd, which provides sports consultancy services .",110025,Less than $1M,2013,www.timeofsports.com/,2,Mansi Banga,Yashraj Singh,Nov-50,1,—,"Jul 3, 2017",—,Venture - Series Unknown,—,Sundeep Arya,,,,,1
nwplyng,Mobile,Music,Mumbai,Maharashtra,nwplyng offers an application that enables its users to share music on their social networks while gamifying it.,400097,$1M to $10M,2012,nwplyng.com,1,Utsav Agarwal,,01-Oct,2,Seed,"Sep 15, 2013","$ 2,00,000.00",Seed,"$ 2,40,000.00",Startup Village,,,,,1
Dvano Shoes,E-Commerce,Fashion,Bengaluru,Karnataka,Dvano Shoes Private Limited manufactures elevator shoes for men.,560 043,—,Jul-12,www.dvano.com,1,Sagar Mehta,,Nov-50,1,—,"Sep 22, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Annapurna Pet,Manufacturing,Packaging Services,Mumbai,Maharashtra,"Annapurna Pet is a manufacturer of PET performs used in packaging of drinking water, beverages, edible oil, and other food products.",—,—,"Jan 1, 2011",appet.co.in/,1,Atul Aggarwal,,Nov-50,1,Seed,"Mar 1, 2012","₹ 48,00,000.00",Seed,"₹ 48,00,000.00",Ladderup,,,,,1
WhistleTalk,Apps,Employment,Bangalore,Karnataka,WhistleTalk is a social hiring application that amplifies the power of referral hiring by leveraging employees’ social networks.,560032,$10M to $50M,2012,www.whistletalk.com,2,Ajay Nema,Sanjay Paul Antony,01-Oct,1,—,"Aug 9, 2012","$ 4,50,000.00",Venture - Series Unknown,"$ 4,50,000.00",Hyderabad Angels,,,,,1
Startup Freak,Advertising,Small and Medium Businesses,Bangalore,Karnataka,Startup Freak provides social media marketing solutions for small- and medium-sized businesses.,560078,Less than $1M,"May 1, 2012",www.startupfreak.com,1,Sangeeta Devni,,Nov-50,1,Seed,"May 25, 2012","$ 10,000.00",Seed,"$ 10,000.00",Dilip Vamanan,,,,,1
Mobule,EdTech,Education,Cochin,Kerala,"Mobule is a company based out of Bangalore, India.",682018,Less than $1M,"May 30, 2013",www.mobule.in,2,Hiemanshu Sharma,Syam S Pillai,01-Oct,1,Seed,"Jan 20, 2014",—,Seed,—,,,,,,—
IPSIT Enterprises,Real Estate,,Mumbai,Maharashtra,"IPSIT Enterprises is known as one of the famous residential projects developer in Palghar, Thane.",400092,—,"Feb 24, 2012",www.ipsitprojects.com,—,,,01-Oct,1,—,"Feb 15, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
MyParichay,Apps,Mobile,Bangalore,Karnataka,MyParichay provides mobile and social technology-based job networking and hiring solutions that connect job seekers with employers.,5600025,—,2011,www.myparichay.in,2,Ranjan Sinha,Vivek Sinha,Nov-50,1,Seed,"Oct 1, 2011","$ 2,50,000.00",Seed,"$ 2,50,000.00",Greenwich Capital Group,,,,,1
NaturalMantra.com,E-Commerce,Fashion,Mumbai,Maharashtra,"NaturalMantra.com is a one-stop online store for all natural, organic, earth-friendly lifestyle products.",400076,$1M to $10M,Sep-11,www.naturalmantra.com/,4,Nishant Nayak,Ritu Mohan,01-Oct,1,Seed,"Aug 1, 2012",—,Seed,—,Freemont Management.,,,,,1
Jack On Block,Facility Management,Home Services,Bangalore,Karnataka,Jack On Block is a new age facilities management company.,560 011,$1M to $10M,2012,jackonblock.com,1,Sharath Vatsa,,01-Oct,1,Seed,"Apr 10, 2013",—,Seed,—,Mumbai Angels,Unitus Ventures,,,,2
Zynergy Projects & Services,Energy,Energy Efficiency,Chennai,Tamil Nadu,Zynergy Projects & Services is a Singapore based company,600 008,—,2012,www.zynergygroup.net/,1,Rohit Rabindernath,,101-250,1,—,"Aug 15, 2015",—,Venture - Series Unknown,—,Cascade Global,Kohli Ventures,,,,2
Good Juicery,Food and Beverage,Fruit,Pune,Maharashtra,"The Good Juicery is a start-up company focused on the sales, marketing and distribution of a range of premium sparkling fruit drinks.",411001,—,2012,www.thegoodjuicery.com/,1,Michelle Bauer,,Nov-50,1,Seed,"Nov 7, 2016",—,Seed,—,,,,,,—
Animonks Animation Studios,Software,Video,Visakhapatnam,Andhra Pradesh,Animonks Animation Studios is Creating exciting and innovative visual presentation helps pitch your business plan effectively.,530007,$1M to $10M,"Oct 15, 2013",www.animonks.com/,1,Praveen Telu,,Nov-50,1,Seed,"Oct 25, 2013",—,Seed,—,Farooq A Rahim,,,,,1
TheShoppingPro,Coupons,E-Commerce,Gurgaon,Haryana,"TheShoppingPro offers online tools that include Shop Mate, a browser plug-in that provides cashback offers and coupons.",—,$1M to $10M,"Mar 1, 2013",www.couponvoodoo.com/theshoppingpro,2,Ashish Gupta,Lavesh Bhandari,01-Oct,1,Seed,"Jul 23, 2013","$ 40,000.00",Angel,"$ 40,000.00",Ankush Nijhawan,Gaurav Bhatnagar,,,,2
Pool My Ride,Android,Apps,New Delhi,Delhi,Start a Car Pool Today on Android & IPhone by using poolmyride.,—,Less than $1M,"Jul 11, 2013",poolmyride.com,2,Abhishek Talwar,Rajat Talwar,01-Oct,1,Seed,"Jan 15, 2015",—,Seed,—,SOSV,Carma Axlr8r,,,,2
Hi Impact,Health Care,Hospital,Noida,Uttar Pradesh,Hi Impact is an India’s Largest Healthcare Staffing Company,201301,—,2011,www.hiimpact.in/,1,Sanjeev Priyadershi,,101-250,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,HealthQuad,,,,,1
Synergy Teletech,Energy,Oil and Gas,Noida,Uttar Pradesh,Synergy Teletech is a Fully Automated Fuel Delivery Service.,201 301,—,2011,www.synergyteletech.com/,2,Navneet Agarwal,Prasan Surana,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,IIM Calcutta Innovation Park,,,,,1
Homestead Infrastructure Development,Product Design,Real Estate,Gurgaon,Haryana,Homestead is a leader in boutique branded residencies.,122001,—,2012,www.homesteadinfra.com/,—,,,51-100,1,—,"Mar 1, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Array Storm,Consumer Electronics,,Bangalore,Karnataka,"Arraystorm Lighting provides specification-grade LED products for Stores, hospitality and office applications.",—,$1M to $10M,2013,arraystorm.com,1,Pradyoth Raj Varma,,Nov-50,1,Seed,"Jul 9, 2014",—,Seed,—,,,,,,—
Relevant e-solution,E-Commerce,Fashion,Gurgaon,Haryana,"Relevant e-solutions Private Limited, through its online portals Roposo and Giveter,",122002,—,2012,,—,,,01-Oct,1,Seed,"Dec 17, 2013",—,Seed,—,,,,,,—
SIBSA Digital Pvt. Ltd.,E-Commerce,Marketplace,Gurgaon,Haryana,"Stock Photography, Contemporary Indian Content, E-commerce marketplace for professional photographers.",122009,$1M to $10M,2011,www.StockImageBank.com,1,Sugandha Dubey,,Nov-50,1,Seed,"Apr 2, 2011","$ 5,00,000.00",Angel,"$ 5,00,000.00",,,,,,—
Prithvi Edifice,Real Estate,,Pune,Maharashtra,The Prithvi Edifice introduces the Presidio with the dynamic concept of “Cubic feet living” for the first time ever.,411016,$1M to $10M,2011,prithviedifice.com,—,,,Nov-50,1,—,"Nov 5, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
F Sharp,B2C,Musical Instruments,Pune,Maharashtra,F Sharp is a retail seller of musical instruments and peripherals.,411004,—,"Dec 25, 2012",www.fsharp.in,—,,,Nov-50,1,Seed,"Jan 26, 2022",—,Seed,—,Public Media Solution,,,,,1
Chhotu.in,Logistics,Supply Chain Management,Delhi,Delhi,Chhotu.in is a logistics & Supply Chain company.,110085,—,2011,www.chhotu.in,2,Aadhar Aggarwal,Navneet Singh,51-100,1,Seed,"Sep 23, 2013",—,Angel,—,Vijay Shekhar Sharma,Rajesh Sawhney,,,,2
Tarusaworld,Home Decor,Jewelry,Mumbai,Maharashtra,TARUSA brings together Indian hand crafting techniques with luxury products.,400016,Less than $1M,2012,www.tarusaworld.com/,1,Rupali Gupta,,Nov-50,1,Seed,"Mar 4, 2016",—,Seed,—,Mohit Gulati,,,,,1
Saya Homes,Real Estate,,Ghaziabad,Uttar Pradesh,"Saya Homes is a real estate business that develops villas, duplexes, and floors. Saya Gold Avenue Dispute",201014,$1M to $10M,2011,www.sayahomes.com,1,Vikas Bhasin,,51-100,1,—,"Mar 13, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Collisionable,Finance,Social,New Delhi,Delhi,"Collisionable is a social platform, creating serendipitous collisions that impact discovery and engagement for startups.",110025,$100M to $500M,"Mar 25, 2013",collisionable.com,1,Paritosh Sharma,,01-Oct,1,Seed,"Sep 5, 2013","$ 16,500.00",Pre-Seed,"$ 16,500.00",,,,,,—
CrowdGuard,Civil Engineering,,New Delhi,Delhi,"CrowdGuard is a community united by common values, trained in civil intervention skills and connected through mobile phone technology.",—,Less than $1M,2013,www.crowdguard.org,1,Philip Sunil Urech,,01-Oct,1,Seed,"Apr 3, 2017",—,Seed,—,PeaceTech Accelerator,,,,,1
Infoline,Search Engine,,Ahmedabad,Gujarat,India's leading local search engine.,—,Less than $1M,2012,infoline.com,2,Nirmal Jain,Rajamani Venkataraman,251-500,1,IPO,"Oct 10, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
G2One Network,Brand Marketing,Public Relations,New Delhi,Delhi,"G2One Network is a full service media firm specializing in content, marketing, social media, branding, publishing and media planning.",110063,—,"Jun 5, 2011",www.g21network.com,1,Karan Chopra,,Nov-50,2,Seed,"Jul 9, 2013",—,Seed,—,,,,,,—
Springr,Media and Entertainment,Mobile Apps,Kochi,Kerala,"Springr is a platform for creative artists. We are intensely passionate about arts, music and technology.",682 002,Less than $1M,2013,www.springr.in,2,Abhinav Sree,Ashwin Nath,01-Oct,1,Seed,"Dec 15, 2013",—,Angel,—,,,,,,—
Etown India Services,Business Development,Information Services,Kovilpatti,Tamil Nadu,"Etown India Services provides a one stop gateway for information about organizations, business promotions, local events and candidatures.",628502,—,2012,etownkovilpatti.com,1,Janarthanan Senthurpandi,,Nov-50,1,Seed,"Mar 15, 2012","$ 1,10,000.00",Seed,"$ 1,10,000.00",,,,,,—
emo2 Inc,Hardware,Software,Kodambakkam,Tamil Nadu,Touch computing for the future,600024,—,"Feb 2, 2011",www.emo2.com,1,Mir Abid Hussain,,01-Oct,1,Seed,"Feb 2, 2011",—,Seed,—,Sameer Guglani,Nandini Hirianniah,,,,2
Emficient Technologies,Information Technology,Mobile,New Delhi,Delhi,Emficient Technologies is a mobile solutions company that focusses on developing enterprise mobility platform solutions and services.,110 017,—,2013,www.mficient.com/,2,Gyan Tiwari,Ranjy Nath-M,Nov-50,1,Seed,"Dec 7, 2015",—,Angel,—,,,,,,—
SkillTrain,Education,Skill Assessment,Tiruchirappalli,Tamil Nadu,SkillTrain offers online and mobile based training programs.,—,—,"Jan 1, 2013",www.skilltrain.in/,1,Ganesh Balasubramanian,,01-Oct,1,Seed,"Aug 1, 2014",—,Pre-Seed,—,Villgro,,,,,1
Indya Estates,Real Estate,,Bangalore,Karnataka,Indya Estates is a fast-growing realty group that maintains high standards and aspires to gain a strong foothold in the realty sector.,560 032,$1M to $10M,2012,indyaestates.com,—,,,251-500,1,—,"Feb 11, 2016",—,Venture - Series Unknown,—,Brand Capital,,,,,1
BookingArena.com,Automotive,E-Commerce,New Delhi,Delhi,First Booking Engine on the Planet,110032,$1M to $10M,2012,www.bookingarena.com,2,Alok Kumar,Alok Ranjan,Nov-50,2,Seed,"Mar 5, 2012","$ 20,000.00",Seed,"$ 21,884.00",,,,,,—
Eka Infratech,Construction,Creative Agency,Pune,Maharashtra,Eka Infratech a creative construction & engineering firm inspired by craft of construction & innovation in design & technology fields.,411028,$1M to $10M,2013,www.ekainfratech.com/,1,Ashwin Garud,,Nov-50,1,Seed,"Oct 31, 2014",—,Angel,—,Clarion Venture Partners,,,,,1
Discounted Flats,Real Estate,,Pune,Maharashtra,Discounted Flats is India's heading organized corporate real estate company,—,Less than $1M,"Mar 5, 2011",www.discountedflats.com/,1,Anoop Garg,,51-100,1,—,"Dec 15, 2011",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Ease My Sell,E-Commerce,Internet,Mumbai,Maharashtra,Ease My Sell offers real estate advisory and brokerage services to sell high-end properties and offices.,400076,$1M to $10M,"Mar 6, 2012",www.easemysell.com,3,Deepak Singh Rahangdale,Gagan Randhawa,Nov-50,1,Seed,"Jun 4, 2012","$ 2,00,000.00",Seed,"$ 2,00,000.00",,,,,,—
BRC Infra,Construction,,Hyderabad,Andhra Pradesh,BRC Infra is a fast growing enterprise focused on property development in South India.,500 032,$1M to $10M,2012,www.brcinfra.com,—,,,Nov-50,1,—,"Sep 27, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
