company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
24x7 Offshoring,Big Data,Data Collection and Labeling,Delhi,Delhi,"localization, Machine Learning data collection, Artificial intelligence services, Annotation, AI data label, TRANSLATION.",110049,—,"Jan 6, 2018",24x7offshoring.com/,1,TEJA SUVVARI,251-500,1,Seed,"Aug 15, 2022","$ 1,00,000.00",Pre-Seed,"$ 1,00,000.00",TEJA SUVVARI,1,,,,,
Singularity Dynamics,,,Bengaluru,Karnataka,Singularity Dynamics is a Chip-design testing startup.,—,—,2017,www.singularitydynamics.co/,2,Harish Kumar,01-Oct,1,Seed,"Oct 15, 2018","$ 6,60,000.00",Seed,"$ 6,60,000.00",3one4 Capital,3,Sushma Kumar,StartupXseed Ventures,IDFC-Parampara Fund,,
Pipaltree Beverages,Food and Beverage,Health Care,Mumbai,Maharashtra,Pipaltree Beverages offers nutrition food products to consumers for a healthy lifestyle.,—,$1M to $10M,"Jan 1, 2017",www.pipaltreebev.com/,1,Satish Negi,01-Oct,1,Seed,"May 16, 2019","₹ 80,00,000.00",Pre-Seed,"₹ 80,00,000.00",ITI Growth Opportunities Fund,1,,,,,
MachPhy Solutions,Manufacturing,Product Management,Bhubaneswar,Orissa,"MachPhy Solutions innovate and develop products for clients, using state of art technology and pure aesthetic designs.",—,—,2017,machphy.com/,—,,01-Oct,1,Seed,"Nov 1, 2022","$ 50,000.00",Pre-Seed,"$ 50,000.00",MARL 5G Accelerator,1,,,,,
Fruzi,E-Commerce,Retail,Mumbai,Maharashtra,"\\""\""Fruzi\""\"" is an fresh produce retail company  which connect farmer to consumer\""",400701,Less than $1M,Jan-18,fruzi.in,2,Harsh Goyal,Nov-50,1,Seed,"Nov 25, 2019","$ 50,000.00",Pre-Seed,"$ 50,000.00",,—,Vishal Goyal,,,,
Loves Cloud,Cloud Computing,Cloud Management,Noida,Uttar Pradesh,"Loves Cloud is an independent software vendor that offers cloud migration, cost optimization, docker, and server-less.",—,—,"May 3, 2017",loves.cloud,2,Albert Anthony,Nov-50,1,Seed,"Oct 31, 2019","$ 90,000.00",Pre-Seed,"$ 90,000.00",,—,Rashmi Mishra,,,,
Finoramic,Financial Services,FinTech,Hyderabad,Andhra Pradesh,"Faster, secure and easier way to track your financial net worth.",—,—,"Aug 2, 2017",finoramic.com/,1,Sachin Gupta,01-Oct,1,Seed,"Aug 2, 2017","$ 1,25,000.00",Angel,"$ 1,25,000.00",,—,,,,,
Eigenlytics,Analytics,Artificial Intelligence (AI),Mumbai,Maharashtra,Eigenlytics is a b2b data solutions company that brings in cutting-edge data science capabilities.,421204,—,2018,www.eigenlytics.com/,2,Dilip Mali,01-Oct,1,Seed,"Jul 27, 2022","$ 2,50,000.00",Seed,"$ 2,50,000.00",Newchip Accelerator,1,Prashant Kumar,,,,
BollyDad,Apparel,Fashion,New Delhi,Delhi,BollyDad is an Indian fashion brand known for its contemporary and stylish clothing. Specializing in men's fashion.,—,—,"Jan 1, 2017",www.bollydad.in,2,Asli Daud,51-100,1,Private Equity,"Dec 23, 2021","₹ 10,00,000.00",Private Equity,"₹ 10,00,000.00",,—,Asli Saif,,,,
Jumpstart,Consumer Reviews,Customer Service,Mumbai,Maharashtra,Connecting Businesses to Modern Customers,400076,$10M to $50M,"May 22, 2017",www.gojumpstart.in,2,Qamar Siddiquie,01-Oct,1,Seed,"May 1, 2019","$ 3,00,000.00",Seed,"$ 3,00,000.00",Venture Catalysts,3,Raghav Soni,Mrunal Jhaveri,Bobby Reddy,,
Kalchi,E-Commerce,Food and Beverage,Bangalore,Karnataka,Kalchi is an online retail providing food without preparation woes.,—,—,"Apr 28, 2017",kalchi.in/,2,Payal Asthana,01-Oct,1,Seed,"Apr 15, 2019","$ 4,00,000.00",Seed,"$ 4,00,000.00",,—,Sudeep Srivastava,,,,
BuyNswipe,FinTech,,Noida,Uttar Pradesh,"Simplify the way of doing digital transactions, make the business for offline retailers hassle free",201301,—,"Jan 3, 2017",buynswipe.com,2,Gaurav Garg,01-Oct,1,Seed,"Apr 1, 2021","₹ 20,00,000.00",Pre-Seed,"₹ 20,00,000.00",JSS STEP,1,Ratnesh Choubey,,,,
DSAB Finserve,E-Commerce,Education,Guwahati,Assam,DSAB Finserve offers a one-stop shop for digital financial products by bridging the gap between consumers and financial institutions.,781001,—,2018,www.dsabfinserve.com,1,Abhishek Borah,01-Oct,1,Seed,"Sep 8, 2021","₹ 10,00,000.00",Pre-Seed,"₹ 10,00,000.00",Bhupen Borah,1,,,,,
Saans International,Blockchain,Enterprise Applications,Surat,Gujarat,"​Solving the fundamental problems of gems, and jewelry industry. Making the trade more, and more, lucid, and data driven.",395003,—,Jan-17,www.saansinternational.com,1,Kundan Sarraf,01-Oct,2,Seed,"Feb 1, 2021","₹ 3,00,000.00",Pre-Seed,"₹ 4,00,000.00",Puneet Mittal,2,,Jitesh Mehta,,,
Career Dose Pvt Ltd,EdTech,Education,Noida,Uttar Pradesh,"Edtech, Online Education, Analysis.",201301,—,"May 16, 2017",www.careerdose.com/,1,Aniket Srivastava,101-250,1,Seed,"Jan 31, 2022","$ 4,00,000.00",Seed,"$ 4,00,000.00",,—,,,,,
Neukelp,Health Care,,Bangalore,Karnataka,Smart Posture Trainer,—,—,2017,neukelp.com/,1,Saurabh Agrawal,01-Oct,1,Seed,"Dec 25, 2018","₹ 50,00,000.00",Pre-Seed,"₹ 50,00,000.00",Biotechnology Industry Research Assistance Council(BIRAC),1,,,,,
Realpro Realty Solutions,Marketing,Property Management,New Delhi,Delhi,Indian arm of luxury real estate advisory services provider .,110048,—,"Feb 27, 2017",,3,Amit Goyal,01-Oct,2,—,"Jan 3, 2018","$ 20,00,000.00",Venture - Series Unknown,"$ 90,00,000.00",Brand Capital,1,Ankit Tyagi,,,,
Fascent technologies,Big Data,Cloud Data Services,Hyderabad,Andhra Pradesh,Software development company,—,—,Dec-17,www.fascent.in,1,Ravi Teja Beku,51-100,2,Seed,"Feb 1, 2018","₹ 10,00,000.00",Seed,"₹ 20,00,000.00",Sreenivas Beku,2,Mobile Apps,Pallavi beku,Software,Web Development,
Howdydo,Event Management,Fitness,Chennai,Tamil Nadu,Howdydo - find classes in neighborhood.,—,Less than $1M,2017,www.howdydo.in,2,SK Choudhury,Nov-50,1,Seed,"Apr 12, 2018","₹ 2,00,00,000.00",Seed,"₹ 2,00,00,000.00",TIW Private Equity,1,Sudhakar Raja,,,,
BlueTie,Apps,Internet,Mumbai,Maharashtra,Objective Driven Professional Networking,400093,$1M to $10M,Jan-17,www.bluetieglobal.com,2,Kalyan Garud,Nov-50,3,Seed,"Jun 10, 2019","$ 7,10,000.00",Angel,"$ 15,20,000.00",,—,Kunal Garud,,,,
Homeguruji,E-Learning,Education,Jabalpur,Madhya Pradesh,Homeguruji provides the best-personalized learning where students can find the most suited & top-notch tutors.,—,—,2018,homeguruji.com/,1,Nikhil Bhatnagar,01-Oct,1,Seed,"Apr 22, 2021","₹ 25,00,000.00",Seed,"₹ 25,00,000.00",Girjesh Vyas,1,,,,,
igauge,Human Resources,Information Technology,Mumbai,Maharashtra,"Igauge is a talent pre-screening platform that helps businesses engage, personalize, and shortlist the best candidates globally.",401028,—,"Dec 21, 2017",www.igauge.io,—,2,Aniket Takarkhede,01-Oct,2,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/igauge,"Mar 2, 2019","$ 2,50,000.00",Seed,"$ 3,75,000.00",—,,,,,
Foaps,Apps,E-Commerce,Kochi,Kerala,Foaps is an order management system that handles user orders from multiple online delivery partners.,683503,—,"May 16, 2017",www.foaps.co/,2,Ehthisham Tk,01-Oct,1,Seed,"Jul 3, 2019","$ 32,000.00",Pre-Seed,"$ 32,000.00",Flat6Labs,1,Muhammed Migdad,,,,
JobsPikr,Machine Learning,Recruiting,Bangalore,Karnataka,JobsPikr provides automated job discovery tool.,—,—,"May 24, 2017",www.jobspikr.com,1,Arpan Jha,51-100,1,Seed,"Sep 29, 2017","$ 70,000.00",Pre-Seed,"$ 70,000.00",,—,,,,,
IwebSpot,Advertising,Digital Marketing,Taranagar,Rajasthan,IwebSpot is a leading digital marketing agency that provides digital marketing services to help companies grow better.,122006,—,"Jul 27, 2017",www.iwebspot.in,1,Ishaan Joshi,Nov-50,1,Seed,"Jun 10, 2022","₹ 12,00,000.00",Seed,"₹ 12,00,000.00",Ishaan Joshi,1,,,,,
Wagonfly,Consumer Applications,E-Commerce,Bengaluru,Karnataka,Wagonfly is an online shopping app that entails the information of the products.,560042,Less than $1M,2018,www.wagonfly.com/,2,Kapil Katiyar,01-Oct,1,Seed,"Apr 28, 2020","$ 5,00,000.00",Seed,"$ 5,00,000.00",ITI Growth Opportunities Fund,3,Raghavendra Prasad,Krishna Raghavan,Manoj kumar,,
KIDZDIARY,Cloud Data Services,EdTech,Uttar Pradesh,India,"KIDZDIARY is an AI-integrated parental engagement cloud software that provides a solution that connects parents, students, and schools.",201303,—,"Sep 25, 2017",www.kidzdiary.org/,—,,—,01-Oct,1,Early Stage Venture,"Jan 17, 2018","$ 8,74,000.00",Series A,,—,Software,,,,
geniSIGHTS,Analytics,Artificial Intelligence (AI),Chennai,Tamil Nadu,Your analytical cente of excellence to provide Automated AI driven Actionable insights,600113,—,"Apr 18, 2017",genisights.com,2,Parvathy Sarath,Nov-50,3,Early Stage Venture,"Aug 9, 2022",—,Series A,"$ 1,50,000.00",,—,Rajesh Kumar,,,,
Hogobie Tech,Business Development,Software,Pune,Maharashtra,Hogobie Tech provides software solutions that help in the operation of a business.,—,—,"Jan 29, 2018",hogobietech.com,1,Saksham Bhagat,Nov-50,1,Seed,"Dec 29, 2019","₹ 20,00,000.00",Seed,"₹ 20,00,000.00",Saksham Bhagat,1,,,,,
Hush - Community for Employees,Apps,Communities,Bangalore,Karnataka,A community for employees to get answers to all their career / workplace questions and get authentic information about any company.,560102,$1M to $10M,"Oct 1, 2017",hush.company/,2,Ashutosh Dabral,Nov-50,2,Seed,"Nov 28, 2018","$ 8,95,000.00",Seed,"$ 11,95,000.00",Accel,3,Umesh Joshi,Shamik Sharma,Sanjay Nadkarni,,
ESCAPADE TECHNOLOGIES,Augmented Reality,Gaming,Hyderabad,Andhra Pradesh,SaaS & Custom Software Development Company,500034,—,"Jan 20, 2017",escapadetechnologies.com/,2,Rajesh Cherukuri,Nov-50,1,Seed,"Mar 8, 2019","$ 3,20,000.00",Seed,"$ 3,20,000.00",,—,Sunny Dasari,,,,
Pulse Active Stations Network,Communities,Health Care,Hyderabad,Andhra Pradesh,The Pulse Active Stations Network is a connected network of IOT-based Smart kiosks known as the Pulse Active Stations.,500 033,$1M to $10M,2017,www.getpulse.in/index.html,2,Joginder Tanikella,Nov-50,2,—,"Mar 30, 2020",—,Venture - Series Unknown,"$ 1,50,000.00",Y Combinator,2,Yuv Raj Poosarla,ASICS Ventures Corporation,,,
The Knotty Tales,Events,Wedding,Noida,Uttar Pradesh,The Knotty Tales s a one-stop wedding store to ease the journey of the bride and groom.,—,Less than $1M,2017,www.theknottytales.com/,1,Saikat Das,Nov-50,2,Seed,"Sep 13, 2019","₹ 35,00,000.00",Seed,"₹ 35,00,000.00",India Accelerator,1,,,,,
Artfine Advisory,Financial Services,Supply Chain Management,Mumbai,Maharashtra,Artfine Advisory is a specialist structuring firm that focuses on supply chain financing.,—,—,"Jan 1, 2018",www.artfine.in,3,Arvind TCA,01-Oct,1,Seed,"Jan 20, 2023","$ 2,50,000.00",Seed,"$ 2,50,000.00",Newchip Accelerator,1,Saini Rajgopal,,,,
Uncap Research Labs,Advice,Consulting,Gurgaon,Haryana,Uncap Research Labs is a talent advisory firm offering solutions that enhance talent assessment and talent acquisition for businesses.,122018,$1M to $10M,2018,www.uncap.co.in/,2,Gaurav Gaur,Nov-50,1,Seed,"Oct 1, 2021","$ 2,50,000.00",Pre-Seed,"$ 2,50,000.00",Newchip Accelerator,1,Naveen Chaudhary,,,,
B-Aegis Life Sciences,Biotechnology,Health Care,Thiruvananthapuram,Kerala,Biotechnology company developing contrast media and nanotherapeutics for cancer diagnosis and treatment.,695568,—,"Oct 5, 2017",www.b-aegis.com/,2,Nandu Surendran,Nov-50,1,Seed,"Dec 5, 2017","$ 1,36,260.00",Pre-Seed,"$ 1,36,260.00",,—,Sruthy Surendran,,,,
BharatSthali,Communities,E-Commerce,Chandigarh,Chandigarh,BharatSthali is your one-stop treasure trove to find sarees online from each part of India!,160101,—,"Dec 15, 2017",bharatsthali.com/,1,Pulkit Gogna,Nov-50,1,Seed,"Apr 24, 2018","$ 60,000.00",Pre-Seed,"$ 60,000.00",,—,,,,,
LQI,Food and Beverage,,New Delhi,Delhi,LQI is a Gurugram based beverage startup.,110047,—,2017,lqi.life/,1,Shubham Khanna,Nov-50,3,Seed,"Nov 11, 2021","$ 1,35,000.00",Seed,"$ 1,35,000.00",Sukhbir Singh,2,,Rahul Maroli,,,
Uppskill,Education,,Noida,Uttar Pradesh,"We are new age learning plateform, where people can come and learn the skills which helps them to get job and in their business",201301,—,"Sep 5, 2017",www.uppskill.com/,2,Abhishek Gupta,Nov-50,1,Seed,"Mar 17, 2022","$ 1,00,000.00",Pre-Seed,"$ 1,00,000.00",Ok! Acquired,1,Arbab Usmani,,,,
SenseHealth Technologies,Health Care,Information Technology,Hyderabad,Andhra Pradesh,SenseHealth Technologies is an edge technology in the domain of healthcare at the affordable cost without compromising the quality.,—,—,2018,www.sensehealth.in/,—,,,,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/sensehealth-technologies,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/sensehealth-technologies,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/sensehealth-technologies,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/sensehealth-technologies,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/sensehealth-technologies,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/sensehealth-technologies,—,,,,
UCLID,E-Learning,EdTech,Hyderabad,Andhra Pradesh,"UCLID is an Education ecosystem that connects Organization Leaders, Teachers & Students to their opportunities.",500001,—,2017,www.uclid.com/,1,Bhargav Krishna,Nov-50,1,Seed,"Oct 12, 2017","$ 2,35,000.00",Seed,"$ 2,35,000.00",,—,,,,,
Aloe Power,Battery,Clean Energy,Jaipur,Rajasthan,"Aloe Power is a Renewable, Clean & Green Energy Company, pursuing research & development in sustainable energy.",—,—,2017,aloepower.in/,1,Vaibhav Jain,Nov-50,1,Seed,"Oct 2, 2018","$ 1,20,000.00",Pre-Seed,"$ 1,20,000.00",,—,,,,,
Noble House,Consulting,Employment,Gurgaon,Haryana,Noble House is a market place connecting businesses and freelancers/GIG Workers.,—,$100M to $500M,"Sep 14, 2017",www.thinknoblehouse.com/,2,Sanjay Lakhotia,Nov-50,1,Seed,"Jun 20, 2018","$ 10,00,000.00",Angel,"$ 10,00,000.00",,—,Sumer Datta,,,,
Sturmfrei Hospitality,Hospitality,,Ahmedabad,Gujarat,"Sturmfrei Hospitality is a chain of hostels for backpackers and travelers, providing home-like accommodation.",—,—,2018,staysturmfrei.com/,2,Dipjyoti Brahma,01-Oct,1,Seed,"Nov 11, 2019","$ 5,00,050.00",Angel,"$ 5,00,050.00",Mohini Jhanwar,5,Pratyush Neog Manikial,Anurag Jhanwar,Anil Jhanwar,Ashwin Mantri,Jeet Jhabak
Zoprent Technologies Pvt.Ltd.,Automotive,Internet,Bangalore,Karnataka,Zoprent Technologies is an online self-drive rental company.,560011,$1M to $10M,"Feb 6, 2017",www.zoprent.com,1,Parag Prakash,01-Oct,1,Seed,"Jun 24, 2018","$ 1,30,000.00",Seed,"$ 1,30,000.00",,—,,,,,
Polymorph Design Studio,Architecture,Construction,Noida,Uttar Pradesh,Tech Enabled Architecture & Interior Firm,—,—,"Jan 7, 2018",www.polymorph-design.in/,—,,01-Oct,2,Seed,"Sep 20, 2023",—,Seed,"$ 1,00,000.00",,—,,,,,
Zesty Kitchen,Food and Beverage,,Chanditala,West Bengal,Zesty Kitchen is a cloud kitchen focussed on regional cuisines,—,—,2018,zestykitchen.in/,2,Aditya Singh,01-Oct,1,Seed,"Sep 25, 2019","$ 4,22,085.00",Angel,"$ 4,22,085.00",Suhail Sameer,11,Sambit Sathapathy,Sanjiv Rangrass,Paul Abraham,Rishad Abraham,KULDEEP JAIN
Tango IT,Artificial Intelligence (AI),Information Services,Chennai,Tamil Nadu,"Tango IT specializes in the fields of finance, Artificial intelligence, management, and financial transactions.",600018,—,2017,www.tangotech.co.in/,1,Surender Gounder,Nov-50,1,Seed,"Jan 1, 2017","$ 2,50,000.00",Seed,"$ 2,50,000.00",,—,,,,,
GoSocial,Social Media,,Gurgaon,Haryana,"GoSocial is a community platform, helping creators monetise their expertise across different domains.",—,—,2018,gosocial.io,3,Mofid Ansari,Nov-50,1,Seed,"Sep 13, 2020","$ 1,20,000.00",Pre-Seed,"$ 1,20,000.00",,—,Pratyush Singh,,,,
CamCom,Artificial Intelligence (AI),Automotive,Bangalore,Karnataka,"CamCom in a deeptech startup with primary focus on quality assessment, defect and damage detection , using computer vision",560076,—,"Sep 7, 2017",camcom.ai,3,Ajith Nayar,Nov-50,2,Seed,"Feb 13, 2020",—,Seed,—,GenNext Ventures,2,Mahesh Subramanian,Triton Investment Advisors LLP,,,
Transfer Task,B2B,Consulting,Mumbai,Maharashtra,Transfer Task is considered as one of the top virtual assistant companies in the Asia Pacific,—,—,"Feb 21, 2017",www.transfertask.com,1,Deven Chhabria,101-250,1,Seed,"Mar 3, 2018","$ 17,00,000.00",Seed,"$ 17,00,000.00",,—,,,,,
Digverve,Education,,Bangalore,Karnataka,"Digverve is blended education software that helps teachers and trainers create, manage, and deliver online learning environments.",560102,—,"Jun 21, 2017",www.digverve.com,1,Jay Bhaskar,01-Oct,1,Seed,"Jan 20, 2023","$ 1,00,000.00",Pre-Seed,"$ 1,00,000.00",,—,,,,,
E-Mantra,Brand Marketing,Business Intelligence,New Delhi,Delhi,we optimize the websites for local search to drive relevant traffic on your website.,110043,—,"Feb 2, 2018",www.e-mantra.in/,1,Prince Gola,01-Oct,1,Private Equity,"Feb 3, 2022","₹ 10,00,000.00",Private Equity,"₹ 10,00,000.00",Prince Gola,1,,,,,
Krishi Trade,Agriculture,AgTech,Mumbai,Maharashtra,Krishi Trade is a Marketplace for trade in agricultural produce integrated with the supply chain and Agri product marketplace.,400021,—,"Mar 11, 2017",www.krishitrade.com,4,Abhijit Shinde,Nov-50,2,Seed,"Oct 20, 2017","$ 1,00,000.00",Seed,"$ 1,00,000.00",Villgro,1,AN Shahir,,,,
OnlyFragrance,E-Commerce,,Thane,Maharashtra,"Online E-Commerce website selling Fragrances based on popular recommendations such as Longevity, Sillage at value for money prices.",400604,—,"Aug 17, 2017",www.onlyfragrance.com,1,Chaitanya Pradhan,Nov-50,1,Seed,"Jan 20, 2020","₹ 1,00,00,000.00",Pre-Seed,"₹ 1,00,00,000.00",Sangeeta Pradhan,1,,,,,
Demaze Technologies,Artificial Intelligence (AI),Computer Vision,Ahmedabad,Gujarat,Rapidly Growing Software/IT company in India | AI | Blockchain | Game | Website | Mobile App Development,382470,—,"Jul 14, 2017",demaze.online/,—,,Nov-50,1,Early Stage Venture,"Dec 21, 2017","$ 12,46,000.00",Series A,"$ 12,46,000.00",,—,,,,,
SSR Music Company,Music Label,,Gurgaon,Haryana,"Record label, Music Company, Sound Recording Publishing, Song Distribution",122003,—,"Aug 30, 2017",www.ssrmusiccompany.com/,1,Prakash Patel,01-Oct,1,Seed,"Aug 30, 2023","₹ 1,00,000.00",Seed,"₹ 1,00,000.00",,—,,,,,
Minds Task Technologies Pvt Limited,DevOps,,Noida,Uttar Pradesh,"Minds Task Technologies is a leading AI/ML based software development company based in Noida, India.",201309,—,"Mar 3, 2018",mindstask.online/,2,Manish Kumar Singh,Nov-50,1,Seed,"Jun 5, 2018","$ 85,000.00",Pre-Seed,"$ 85,000.00",,—,Sudhanshu Kumar Singh,,,,
Bagmo Pvt Ltd,Health Care,Internet of Things,Kochi,Kerala,Blood Bank Monitoring and Information system,683503,—,"Mar 2, 2017",bagmo.in/,2,Anas D.,01-Oct,1,Seed,"Jun 26, 2020","$ 40,000.00",Seed,"$ 40,000.00",Brinc,1,Ashfaq Ashraf,,,,
Edyoo,E-Commerce,Education,Bengaluru,Karnataka,"Edyoo.com a School Commerce Marketplace where payments, financing, and commerce merge with technology.",560034,$1M to $10M,"Jan 1, 2017",www.edyoo.com/,1,Rakshit Kejriwal,Nov-50,1,Seed,"May 23, 2018","$ 10,00,000.00",Seed,"$ 10,00,000.00",R S Shanbhag,1,,,,,
